City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,27.12,59,20,10.36,few clouds
1,Bredasdorp,ZA,-34.5322,20.0403,58.55,66,96,4.54,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,54.81,66,100,5.91,overcast clouds
3,Avenal,US,36.0041,-120.129,67.77,30,0,12.8,clear sky
4,Busselton,AU,-33.65,115.3333,57.0,79,9,10.58,clear sky
5,Saint Anthony,US,45.0205,-93.218,72.66,70,100,26.46,overcast clouds
6,Hilo,US,19.7297,-155.09,83.28,70,40,5.99,scattered clouds
7,Kirakira,SB,-10.4544,161.9205,81.66,79,77,3.87,broken clouds
8,Ribeira Grande,PT,38.5167,-28.7,59.4,67,40,17.27,scattered clouds
9,Dunmore East,IE,52.1514,-6.9861,55.69,68,12,21.25,few clouds
10,Lebu,CL,-37.6167,-73.65,56.93,75,67,8.86,broken clouds
11,Mataura,NZ,-46.1927,168.8643,51.48,97,100,7.43,overcast clouds
12,Thompson,CA,55.7435,-97.8558,46.56,34,75,13.8,broken clouds
13,Biak,ID,-0.9131,122.8766,76.21,85,94,0.58,overcast clouds
14,Bambous Virieux,MU,-20.3428,57.7575,77.25,61,20,14.97,few clouds
15,Norman Wells,CA,65.282,-126.8329,39.24,48,0,16.11,clear sky
16,Hobart,AU,-42.8794,147.3294,47.05,88,0,6.91,clear sky
17,Saint-Philippe,RE,-21.3585,55.7679,71.22,78,46,15.9,scattered clouds
18,Khatanga,RU,71.9667,102.5,-12.98,100,78,1.97,broken clouds
19,Hobyo,SO,5.3505,48.5268,83.5,75,35,13.06,scattered clouds
20,Richards Bay,ZA,-28.783,32.0377,69.53,91,49,2.48,scattered clouds
21,Victoria,HK,22.2855,114.1577,79.18,87,7,4.0,clear sky
22,Okha,RU,53.5739,142.9478,25.83,89,37,4.47,scattered clouds
23,Punta Arenas,CL,-53.15,-70.9167,44.71,87,100,13.8,light rain
24,Clyde River,CA,70.4692,-68.5914,-0.17,85,75,2.3,broken clouds
25,Tiksi,RU,71.6872,128.8694,2.48,99,100,1.99,overcast clouds
26,Hovd,MN,48.0056,91.6419,43.97,47,19,5.57,few clouds
27,Poum,NC,-20.2333,164.0167,76.39,73,28,9.53,scattered clouds
28,Tuatapere,NZ,-46.1333,167.6833,50.81,89,100,11.43,light rain
29,Longyearbyen,SJ,78.2186,15.6401,22.84,86,75,1.14,broken clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,75.22,31,0,17.27,clear sky
31,Ushuaia,AR,-54.8,-68.3,46.06,66,75,9.22,broken clouds
32,Krasnoye,UA,49.9145,24.6134,42.69,88,79,6.55,broken clouds
33,Chimoio,MZ,-19.1164,33.4833,69.66,94,75,1.03,broken clouds
34,Chapais,CA,49.7834,-74.8492,35.38,60,100,6.35,overcast clouds
35,Ancud,CL,-41.8697,-73.8203,50.23,83,100,21.23,light rain
36,Iqaluit,CA,63.7506,-68.5145,11.93,78,20,3.44,few clouds
37,Rikitea,PF,-23.1203,-134.9692,75.51,76,100,13.27,light rain
38,Mandalgovi,MN,45.7625,106.2708,40.15,47,64,4.63,broken clouds
39,Kapaa,US,22.0752,-159.319,80.58,83,100,14.97,overcast clouds
40,New Norfolk,AU,-42.7826,147.0587,46.71,82,26,2.89,scattered clouds
41,Payo,ID,-3.7508,103.6372,73.33,99,100,2.37,moderate rain
42,Derzhavinsk,KZ,51.1,66.3167,40.14,49,87,19.06,overcast clouds
43,Kaeo,NZ,-35.1,173.7833,57.33,95,43,6.58,scattered clouds
44,San Patricio,US,28.017,-97.5169,87.75,64,88,21.97,overcast clouds
45,Sarkand,KZ,45.41,79.9186,57.7,63,99,5.59,overcast clouds
46,Port Elizabeth,ZA,-33.918,25.5701,62.89,97,100,4.61,overcast clouds
47,Port Alfred,ZA,-33.5906,26.891,64.89,84,100,3.6,light rain
48,Portland,US,45.5234,-122.6762,64.99,55,20,7.0,few clouds
49,Guerrero Negro,MX,27.9769,-114.0611,65.55,53,0,20.0,clear sky
50,Balao,EC,-2.9167,-79.8167,81.34,72,39,5.35,scattered clouds
51,Flinders,AU,-34.5833,150.8552,57.06,91,7,4.0,clear sky
52,Dicabisagan,PH,17.0818,122.4157,76.62,90,16,3.09,few clouds
53,Manzhouli,CN,49.6,117.4333,31.86,76,95,7.47,overcast clouds
54,Prado,BR,-17.3411,-39.2208,78.82,87,31,9.82,scattered clouds
55,Kalmunai,LK,7.4167,81.8167,79.09,84,95,5.88,overcast clouds
56,Tasiilaq,GL,65.6145,-37.6368,39.36,86,88,5.97,overcast clouds
57,Karpogory,RU,64.0019,44.4451,32.45,99,100,5.77,light snow
58,Vao,NC,-22.6667,167.4833,75.24,72,91,24.81,overcast clouds
59,Aitape,PG,-3.1374,142.3475,76.73,90,99,4.34,overcast clouds
60,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,57,10.98,broken clouds
61,Lompoc,US,34.6391,-120.4579,79.02,53,0,24.16,clear sky
62,Tazovskiy,RU,67.4667,78.7,-2.65,100,100,5.46,overcast clouds
63,Chenzhou,CN,25.8,113.0333,70.0,94,2,3.98,clear sky
64,Fershampenuaz,RU,53.5202,59.8117,39.78,52,78,8.01,broken clouds
65,Albany,US,42.6001,-73.9662,55.94,30,100,3.83,overcast clouds
66,Bluff,NZ,-46.6,168.3333,51.8,74,100,20.71,overcast clouds
67,Puteyets,RU,65.1716,57.091,21.4,92,96,3.44,overcast clouds
68,Cape Town,ZA,-33.9258,18.4232,58.12,70,20,13.8,few clouds
69,Atuona,PF,-9.8,-139.0333,79.2,80,83,16.6,broken clouds
70,Manado,ID,1.487,124.8455,74.17,100,40,2.3,scattered clouds
71,Kasongo,CD,-4.45,26.6667,69.89,96,100,2.75,overcast clouds
72,Meybod,IR,32.2501,54.0166,75.22,29,33,3.83,scattered clouds
73,Betanzos,ES,43.2804,-8.2147,55.09,72,20,6.91,few clouds
74,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,89.4,66,40,3.44,scattered clouds
75,Saint-Denis,FR,48.9167,2.3333,61.09,66,0,12.66,clear sky
76,Golden,US,39.7555,-105.2211,60.69,26,75,27.63,broken clouds
77,Barrow,US,71.2906,-156.7887,15.82,86,100,3.44,overcast clouds
78,Avarua,CK,-21.2078,-159.775,73.45,100,75,10.36,moderate rain
79,Rapid City,US,44.0805,-103.231,36.7,84,100,43.73,snow
80,Hithadhoo,MV,-0.6,73.0833,84.11,75,100,11.05,overcast clouds
81,Luderitz,NA,-26.6481,15.1594,56.95,78,0,22.28,clear sky
82,Anadyr,RU,64.75,177.4833,25.3,79,75,4.47,broken clouds
83,Saqqez,IR,36.2499,46.2735,53.55,25,58,2.89,broken clouds
84,Saint George,US,37.1041,-113.5841,67.78,24,0,8.01,clear sky
85,Zharkent,KZ,44.1628,80.0,62.38,50,88,6.58,overcast clouds
86,Dawlatabad,AF,36.4141,64.9053,70.84,52,100,2.95,overcast clouds
87,Batticaloa,LK,7.7102,81.6924,79.41,84,100,8.01,overcast clouds
88,Ouadda,CF,8.0777,22.4007,72.68,75,95,4.7,overcast clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,68,0,10.36,clear sky
90,Jamestown,US,42.097,-79.2353,77.52,35,0,6.91,clear sky
91,Dumai,ID,1.6833,101.45,75.18,93,99,1.05,overcast clouds
92,Bubaque,GW,11.2833,-15.8333,77.36,79,3,17.36,clear sky
93,Chokurdakh,RU,70.6333,147.9167,-5.26,100,100,2.24,overcast clouds
94,Najran,SA,17.4924,44.1277,77.65,23,29,2.26,scattered clouds
95,Batagay,RU,67.6333,134.6333,7.16,97,100,2.55,overcast clouds
96,Oranjemund,NA,-28.55,16.4333,55.4,87,6,15.19,clear sky
97,Isangel,VU,-19.55,169.2667,78.58,76,100,13.09,overcast clouds
98,Margate,GB,51.3813,1.3862,54.1,80,100,8.01,overcast clouds
99,Kodiak,US,57.79,-152.4072,42.31,81,100,13.8,light rain
100,Mendoza,AR,-32.8908,-68.8272,72.93,40,0,5.75,clear sky
101,Svetlyy Yar,RU,48.4748,44.781,49.08,76,45,6.11,scattered clouds
102,Kaitangata,NZ,-46.2817,169.8464,50.56,91,100,9.64,overcast clouds
103,Port Hardy,CA,50.6996,-127.4199,50.18,71,100,19.57,light rain
104,Alta Floresta,BR,-9.8756,-56.0861,89.42,55,40,3.44,scattered clouds
105,Fairlie,GB,55.756,-4.8556,48.42,80,5,13.35,clear sky
106,Cotonou,BJ,6.3654,2.4183,84.18,79,20,11.5,few clouds
107,Olafsvik,IS,64.8945,-23.7142,45.5,88,64,4.81,broken clouds
108,Berlevag,NO,70.8578,29.0864,39.0,89,100,14.05,overcast clouds
109,Georgetown,MY,5.4112,100.3354,80.55,94,40,3.44,scattered clouds
110,Krasnyy Chikoy,RU,50.3643,108.7512,24.64,88,57,2.57,broken clouds
111,East London,ZA,-33.0153,27.9116,62.76,88,97,4.94,overcast clouds
112,College,US,64.8569,-147.8028,48.0,39,100,4.61,overcast clouds
113,Carnarvon,AU,-24.8667,113.6333,60.87,100,75,6.91,broken clouds
114,Tabou,CI,4.423,-7.3528,80.98,84,100,5.68,overcast clouds
115,Katsuura,JP,35.1333,140.3,66.06,88,100,8.12,overcast clouds
116,Gat,IL,31.61,34.7642,63.28,100,1,7.18,clear sky
117,Cuamba,MZ,-14.8031,36.5372,66.99,99,21,4.61,few clouds
118,Broken Hill,AU,-31.95,141.4333,62.31,67,40,9.22,scattered clouds
119,Salta,AR,-24.7859,-65.4117,66.79,85,100,9.22,overcast clouds
120,Salinopolis,BR,-0.6136,-47.3561,73.8,94,100,4.83,overcast clouds
121,Batemans Bay,AU,-35.7167,150.1833,56.1,93,14,4.34,few clouds
122,Maryville,US,35.7565,-83.9705,86.11,44,40,9.22,scattered clouds
123,Bat Khela,PK,34.6167,71.9714,69.12,37,0,7.14,clear sky
124,Port Blair,IN,11.6667,92.75,80.64,94,20,2.3,mist
125,Sao Filipe,CV,14.8961,-24.4956,74.91,74,0,4.74,clear sky
126,Bondoukou,CI,8.0333,-2.8,77.47,72,72,4.38,light rain
127,Caravelas,BR,-17.7125,-39.2481,78.57,87,32,7.78,scattered clouds
128,Nuuk,GL,64.1835,-51.7216,38.01,87,75,19.57,broken clouds
129,Lukang,TW,24.0567,120.4352,78.44,83,29,4.12,scattered clouds
130,Cap Malheureux,MU,-19.9842,57.6142,76.46,66,74,7.0,broken clouds
131,Ponnani,IN,10.767,75.9252,74.52,83,100,3.98,overcast clouds
132,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,72,20,14.09,few clouds
133,Makakilo City,US,21.3469,-158.0858,80.92,65,75,12.66,light rain
134,Chardara,KZ,41.2547,67.9692,68.9,48,100,5.97,overcast clouds
135,Pechora,RU,65.1472,57.2244,19.98,93,95,3.33,overcast clouds
136,Nador,MA,35.174,-2.9287,61.05,67,0,4.61,clear sky
137,Rock Hill,US,34.9249,-81.0251,82.78,48,75,6.91,broken clouds
138,Kudahuvadhoo,MV,2.6708,72.8944,84.29,73,76,10.71,broken clouds
139,Sorland,NO,67.667,12.6934,41.83,86,85,8.23,overcast clouds
140,Ibra,OM,22.6906,58.5334,78.21,38,3,1.99,clear sky
141,Patrasaer,IN,23.2167,87.5167,82.0,70,0,8.37,clear sky
142,Tehachapi,US,35.1322,-118.449,64.53,65,4,11.99,clear sky
143,Bengkulu,ID,-3.8004,102.2655,74.88,92,100,6.69,moderate rain
144,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,58,0,6.91,clear sky
145,Tautira,PF,-17.7333,-149.15,77.99,82,100,9.13,moderate rain
146,Narsaq,GL,60.9167,-46.05,44.82,96,100,2.19,light rain
147,Komsomolskiy,UZ,40.4272,71.7189,70.52,43,49,9.62,scattered clouds
148,Yakeshi,CN,49.2833,120.7333,23.56,92,68,4.03,broken clouds
149,Yasothon,TH,15.75,104.1333,84.04,65,81,5.41,broken clouds
150,Qasigiannguit,GL,68.8193,-51.1922,28.65,89,100,2.57,overcast clouds
151,Turukhansk,RU,65.8167,87.9833,4.33,98,79,6.04,broken clouds
152,Vaini,TO,-21.2,-175.2,77.16,83,75,2.3,broken clouds
153,Laiyang,CN,36.9758,120.7136,52.2,87,56,4.9,broken clouds
154,Sinnamary,GF,5.3833,-52.95,77.32,88,99,7.58,overcast clouds
155,Touros,BR,-5.1989,-35.4608,75.67,92,100,6.8,moderate rain
156,Grand Gaube,MU,-20.0064,57.6608,77.4,66,69,7.0,broken clouds
157,Hasaki,JP,35.7333,140.8333,63.0,73,100,15.3,overcast clouds
158,Herat,AF,34.5,62.0,61.63,59,70,9.98,broken clouds
159,Castro,BR,-24.7911,-50.0119,64.33,91,99,7.72,overcast clouds
160,Leningradskiy,RU,69.3833,178.4167,22.69,92,100,2.48,overcast clouds
161,Tevriz,RU,57.509,72.4042,22.96,84,21,3.58,few clouds
162,Dingle,PH,10.9995,122.6711,76.24,90,100,6.06,overcast clouds
163,Bilibino,RU,68.0546,166.4372,11.55,92,95,0.76,overcast clouds
164,Nienburg,DE,52.6333,9.2167,55.85,66,5,13.82,clear sky
165,Zyryanka,RU,65.75,150.85,11.77,94,93,5.17,overcast clouds
166,Kidal,ML,18.4411,1.4078,87.51,7,96,9.84,overcast clouds
167,Port-Cartier,CA,50.0334,-66.8654,41.11,64,92,13.06,overcast clouds
168,Koslan,RU,63.4564,48.8989,33.42,99,100,2.24,overcast clouds
169,Nemuro,JP,43.3236,145.575,38.7,76,1,2.86,clear sky
170,Matagami,CA,49.7502,-77.6328,41.11,20,0,6.91,clear sky
171,Cherskiy,RU,68.75,161.3,17.82,91,99,1.81,overcast clouds
172,Alice Springs,AU,-23.7,133.8833,60.35,59,75,4.61,broken clouds
173,Jacareacanga,BR,-6.2222,-57.7528,79.95,89,66,1.97,broken clouds
174,Torbay,CA,47.6666,-52.7314,39.27,87,100,24.16,overcast clouds
175,Nanortalik,GL,60.1432,-45.2371,34.63,99,100,5.73,light snow
176,Chegdomyn,RU,51.1167,133.0167,30.85,98,100,5.03,snow
177,Kawalu,ID,-7.3817,108.2082,72.39,98,91,0.92,overcast clouds
178,Talaya,RU,61.3833,152.75,9.9,94,100,3.29,overcast clouds
179,Padang,ID,-0.9492,100.3543,77.49,87,100,4.99,overcast clouds
180,Almaznyy,RU,48.0448,40.045,50.99,71,100,6.22,overcast clouds
181,Lavrentiya,RU,65.5833,-171.0,26.67,75,90,2.28,overcast clouds
182,Nikolskoye,RU,59.7035,30.7861,42.69,80,100,9.69,overcast clouds
